City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mandal,25.45,74.5667,13.57,63,0,0.46,IN,1674530914
1,udachnyy,66.4167,112.4,-30.31,74,100,1.62,RU,1674530915
2,tuatapere,-46.1333,167.6833,17.73,47,7,3.89,NZ,1674530916
3,busselton,-33.65,115.3333,28.76,41,21,5.03,AU,1674530916
4,gurlan,41.8447,60.3919,-12.96,35,7,2.51,UZ,1674530918
5,kpandu,6.9954,0.2931,25.51,78,60,1.93,GH,1674530918
6,punta arenas,-53.15,-70.9167,10.06,57,0,7.72,CL,1674530919
7,qaanaaq,77.484,-69.3632,-24.42,70,94,3.22,GL,1674530920
8,puerto ayora,-0.7393,-90.3518,23.64,98,89,1.34,EC,1674530921
9,port elizabeth,-33.918,25.5701,21.84,86,0,11.62,ZA,1674530921
10,eureka,40.8021,-124.1637,7.66,91,2,0.45,US,1674530923
11,port-cartier,50.0334,-66.8654,-9.18,98,76,2.65,CA,1674530924
12,kodiak,57.79,-152.4072,3.73,87,75,3.09,US,1674530924
13,moundou,8.5667,16.0833,23.27,22,100,1.77,TD,1674530925
14,castro,-24.7911,-50.0119,16.7,95,56,1.73,BR,1674530926
15,mataura,-46.1927,168.8643,20.81,35,9,1.99,NZ,1674530926
16,jamestown,42.097,-79.2353,-0.8,67,100,9.77,US,1674530871
17,andenes,69.3143,16.1194,1.99,75,100,10.8,NO,1674530928
18,georgetown,5.4112,100.3354,28.96,78,20,1.03,MY,1674530852
19,olafsvik,64.8945,-23.7142,0.93,98,100,9.26,IS,1674530929
20,richards bay,-28.783,32.0377,21.64,94,1,4.02,ZA,1674530930
21,acatic,20.7833,-102.8833,16.53,44,82,1.68,MX,1674530931
22,celestun,20.8667,-90.4,24.26,79,0,6.75,MX,1674530932
23,rikitea,-23.1203,-134.9692,26.21,75,0,7.11,PF,1674530933
24,nemuro,43.3236,145.575,-2.87,70,100,4.89,JP,1674530934
25,ushuaia,-54.8,-68.3,8.81,87,40,2.57,AR,1674530702
26,barrow,71.2906,-156.7887,-21.99,84,100,8.75,US,1674530935
27,jalu,29.0331,21.5482,10.73,64,0,3.51,LY,1674530935
28,hobart,-42.8794,147.3294,25.15,47,20,7.2,AU,1674530833
29,laguna,38.421,-121.4238,11.07,63,0,1.54,US,1674530937
30,lagoa,39.05,-27.9833,15.04,77,78,11.29,PT,1674530938
31,albany,42.6001,-73.9662,-0.76,83,69,1.34,US,1674530551
32,bethel,41.3712,-73.414,1.53,78,100,4.12,US,1674530940
33,cidreira,-30.1811,-50.2056,24.15,82,0,5.22,BR,1674530940
34,flinders,-34.5833,150.8552,28.36,70,78,5.74,AU,1674530941
35,hithadhoo,-0.6,73.0833,26.83,77,66,5.66,MV,1674530943
36,abilene,32.4487,-99.7331,9.12,39,100,7.2,US,1674530944
37,ust-tsilma,65.441,52.1498,-7.99,86,19,4.5,RU,1674530946
38,nanortalik,60.1432,-45.2371,-1.78,86,100,3.95,GL,1674530947
39,myaundzha,63.0494,147.1858,-36.33,97,42,0.89,RU,1674530948
40,kaitangata,-46.2817,169.8464,14.82,57,51,3.73,NZ,1674530950
41,narsaq,60.9167,-46.05,-8.88,80,100,2.2,GL,1674530951
42,bara,10.3744,10.7288,20.54,22,48,3.54,NG,1674530953
43,bahia blanca,-38.7196,-62.2724,26.27,43,0,0.89,AR,1674530954
44,port alfred,-33.5906,26.891,22.32,88,59,2.68,ZA,1674530955
45,hermanus,-34.4187,19.2345,17.9,80,0,6.53,ZA,1674530956
46,labuhan,-6.8844,112.2051,28.86,71,100,1.49,ID,1674530958
47,victoria,22.2855,114.1577,16.09,49,98,11.18,HK,1674530809
48,klaksvik,62.2266,-6.589,8.51,97,100,8.15,FO,1674530960
49,bengkulu,-3.8004,102.2655,23.93,90,100,3.36,ID,1674530962
50,katsuura,35.1333,140.3,11.43,63,100,7.97,JP,1674530963
51,iqaluit,63.7506,-68.5145,-24.06,83,100,1.03,CA,1674530964
52,noshiro,40.2039,140.0242,-2.54,85,100,7.9,JP,1674530965
53,tasiilaq,65.6145,-37.6368,-6.91,65,100,2.37,GL,1674530966
54,yellowknife,62.456,-114.3525,-13.71,85,75,4.63,CA,1674530718
55,souillac,-20.5167,57.5167,23.21,94,75,1.54,MU,1674530968
56,cabo san lucas,22.8909,-109.9124,18.61,74,40,6.17,MX,1674530969
57,hilo,19.7297,-155.09,25.16,82,100,3.6,US,1674530969
58,elesbao veloso,-6.2019,-42.1403,24.14,77,93,0.58,BR,1674530971
